"country","CrisisDate","CrisisDateSystemic","CurrencyCrisis","YearCurrencyCrisis","SovereignCrisis","YearSovereignCrisis","CreditBoom","CreditorRights","CreditorRightsIndex","DepositIns","YearDICreated","DICoverageLimit","DICoverageRatio","DepositFreeze","DateDepositFreeze","DurationDepositFreeze","TimeDepositsFreeze","BankHoliday","DateBankHoliday","DurationBankHoliday","BankGuaranteee","DateBankGuaranteeStart","DateBankGuaranteeEnd","BankGuaranteeDuration","BankGuaranteeCoverage","EmergencyLending","DateEmergencyLending","PeakLendingSupport","BankRestructuring","Nationalizations","AssetPurchases","AMC","Recap","RecapCosts","RecoveryDummy","RecoveryProceeds","GovRecapCosts","DepositorLosses","DepositorLosesSeverity","MonetaryPolicyIndex","AverageReserveChange","FiscalPolicyIndex","IncreasePublicDebt","IMFProgram","YearIMFProgram","PeakNPLs","NetFiscalCosts","GrossFiscalCosts","FiveYearRecovery","OutputLoss","imfcode","year","AMCType"
"51","Russia",2008-09-01,"","N","","","","Y","","2","Y","","400000","171","N","","","","N","","","Y","Nov-08","","","Interbank lending for qualifying banks. ","Y","Oct-08","25","Y","N","N","1","Y","2.30","","","","N","","-1","1.00","0","4.14","N","","9.62","","2.30","","0.00",922,2008,"None"
"52","Slovenia",2008-09-01,"","N","","","","Y","","3","Y","","22000","128","N","","","","N","","","Y","Dec-08","","","Unlimited protection for all deposits by individuals and small entreprises until end-2010, and capped at ü¾˜¦¼100,000 thereafter ","Y","Dec-08","21","Y","N","N","1","Y","0.80","","","","N","","1","8.33","0","14.38","N","","12.10","","3.60","","38.00",961,2008,"None"
"53","Spain",2008-09-01,"Apr-11","N","","","","Y","","2","Y","","20000","85","N","","","","N","","","Y","Oct-08","","","","Y","Oct-08","8","Y","N","Y","1","Y","2.00","","","","N","","1","8.33","1","26.89","N","","5.80","","3.80","","39.00",184,2008,"None"
"54","Sri Lanka",1989-01-01,"1989","N","","Y","1990","N","","2","Y","1987","100000","718","N","","","","N","","","N","","","","","N","","8.03","Y","N","N","1","Y","3.60","N","0.00","3.60","N","","-1","-0.96","-1","-10.50","N","","35.00","5.00","5.00","0.00","19.58",524,1989,"None"
"55","Sweden",1991-09-01,"Sep-92","Y","1992","N","","Y","","2","N","","    ","0","N","","","","N","","","Y","Sep-92","Jul-96","46","All liabilities, except for shareholders","Y","","3.09","Y","Y","Y","2","Y","1.85","Y","0.36","1.49","N","","0","5.13","1","32.60","N","","13.00","0.20","3.60","3.40","30.60",144,1991,"Centralised"
"56","Sweden",2008-09-01,"","N","","","","N","","1","Y","","250000","73","N","","","","N","","","Y","Oct-08","","","Medium-term debt of banks and mortgage insitutions","Y","Oct-08","13","Y","N","N","1","Y","0.20","","","","N","","1","6.30","0","10.45","N","","2.00","","0.70","","25.00",144,2008,"None"
"57","Switzerland",2008-09-01,"","N","","","","N","","1","Y","","30000","43","N","","","","N","","","N","N","","","","Y","Sep-08","5","Y","N","Y","2","Y","1.10","Y","1.50","-0.40","N","","1","7.57","0","-1.30","N","","0.50","","1.10","1.50","0.00",146,2008,"Decentralised"
"58","Thailand",1997-07-01,"Oct-97","Y","1997","N","","Y","","3","N","","    ","0","N","","","","N","","","Y","Aug-97","Jan-05","89","Deposits, contingent and foreign liabilities (excluding shareholdersü¾–¼ capital and subordinated debt) of banks and finance companies. Directorsü¾–¼ and related personsü¾–¼ deposits and/or claims were not covered unless it could be proven that the transactions were at armsü¾–¼ length.","Y","Feb-98","5.08","Y","Y","Y","2","Y","18.80","","","18.80","Y","2","0","3.89","0","-1.70","Y","1998","33.00","34.80","43.80","9.00","109.32",578,1997,"Centralised"
"59","Turkey",2000-11-01,"Dec-00","Y","2001","N","","Y","","2","Y","1983"," Full ","","N","","","","N","","","Y","Dec-00","Jul-04","43","All liabilities (including contingent) of domestically incorporated banks except for owners' deposits, deposits linked to criminal activities, subordinated debt, and equity ","Y","Dec-00","20.46","Y","Y","Y","2","Y","24.50","Y","1.30","23.20","N","","0","2.39","-1","-16.70","Y","2000","27.60","30.70","32.00","1.30","37.04",186,2000,"Centralised"
"60","Ukraine",1998-08-01,"Dec-98","Y","1998","N","","","","3","Y","1998","1200","59","N","","","","N","","","N","","",""," ","Y","Dec-98","19.06","Y","N","N","1","N","","","","","Y","1","0","3.35","0","6.04","Y","1995","62.40","0.00","0.00","0.00","0.00",926,1998,"None"
"61","Ukraine",2008-09-01,"May-09","Y","2009","","","Y","","2","Y","","50000","323","N","","","","N","","","N","N","","","","Y","Nov-08","30","Y","Y","N","1","Y","4.50","","","","N","","-1","1.66","1","24.15","Y","2009, 2010","15.45","","4.50","","2.00",926,2008,"None"
"62","United Kingdom",2007-09-01,"Nov-08","N","","","","Y","","4","Y","","35000","160","N","","","","N","","","Y","Oct-08","","","Guarantee on short-to-medium term debt; blanket guarantee on Northern Rock and Bradford & Bingley wholesale deposits. ","Y","Nov-08","9","Y","Y","Y","2","Y","5.00","","","","N","","1","9.42","1","15.59","N","","4.00","","8.80","2.20","25.00",112,2007,"Decentralised"
"63","United States",2007-12-01,"Oct-08","N","","","","N","","1","Y","","100000","224","N","","","","N","","","Y","Oct-08","","","Money market funds (capped at 50 bio); full guarantee on transaction deposits; newly issued senior unsecured debt. ","Y","Dec-08","5","Y","Y","Y","2","Y","3.60","Y","2.10","1.50","N","","1","7.93","1","19.14","N","","4.99","","4.50","2.40","31.00",111,2007,"Decentralised"
"64","Uruguay",2002-01-01,"Apr-02","Y","2002","N","","Y","","2","Y","2002","100000","140","Y","2002","36","Y","Y","2002","5","N","","","","","Y","Aug-02","12.85","Y","Y","Y","2","Y","6.18","Y","1.16","5.02","N","","0","1.98","1","17.00","Y","1996","36.30","10.83","20.00","9.17","27.37",298,2002,"Centralised"
"65","Venezuela",1994-01-01,"Jan-94","Y","1994","N","","N","","3","Y","1985","250000","96","N","","","","N","","","N","","","","","Y","","2.91","Y","Y","N","1","Y","5.59","N","0.00","5.59","Y","2","-1","1.32","-1","-37.96","Y","1996","24.00","12.50","15.00","2.50","1.16",299,1994,"None"
"66","Vietnam",1997-11-01,"Oct-98","N","","N","","N","","1","N","","    ","0","N","","","","N","","","N","","","","","N","","64.85","Y","N","Y","2","Y","5.00","N","0.00","5.00","N","","0","4.85","-1","-62.70","N","","35.00","10.00","10.00","0.00","0.00",582,1997,"Centralised"
