"imfcode","year","CvHOwnPerc"
343,1999,33.3333333333333
343,2000,33.3333333333333
343,2001,50
343,2002,62.5
343,2003,62.5
343,2004,71.4285714285714
343,2005,71.4285714285714
343,2006,71.4285714285714
343,2007,71.4285714285714
343,2008,71.4285714285714
343,2009,71.4285714285714
439,1995,11.1111111111111
439,1996,10
439,1997,10
439,1998,10
439,1999,10
439,2000,10
439,2001,10
439,2002,10
439,2003,10
439,2004,20
439,2005,30
439,2006,30
439,2007,30
439,2008,40
439,2009,40
158,1995,0
158,1996,0
158,1997,0
158,1998,0
158,1999,0
158,2000,0
158,2001,1.12359550561798
158,2002,1.0989010989011
158,2003,1.11111111111111
158,2004,1.08695652173913
158,2005,1.08695652173913
158,2006,1.0752688172043
158,2007,2.12765957446809
158,2008,1.06382978723404
158,2009,1.06382978723404
916,1995,20
916,1996,15
916,1997,28.5714285714286
916,1998,37.5
916,1999,34.6153846153846
916,2000,33.3333333333333
916,2001,34.4827586206897
916,2002,34.4827586206897
916,2003,31.0344827586207
916,2004,31.0344827586207
916,2005,32.1428571428571
916,2006,35.7142857142857
916,2007,39.2857142857143
916,2008,39.2857142857143
916,2009,39.2857142857143
664,1995,24.4444444444444
664,1996,24.4444444444444
664,1997,24.4444444444444
664,1998,25.5813953488372
664,1999,25.5813953488372
664,2000,26.8292682926829
664,2001,25.6410256410256
664,2002,25.6410256410256
664,2003,28.2051282051282
664,2004,28.2051282051282
664,2005,29.7297297297297
664,2006,29.7297297297297
664,2007,28.5714285714286
664,2008,31.4285714285714
664,2009,31.4285714285714
917,1995,50
917,1996,20
917,1997,42.8571428571429
917,1998,42.8571428571429
917,1999,37.5
917,2000,37.5
917,2001,37.5
917,2002,37.5
917,2003,50
917,2004,62.5
917,2005,62.5
917,2006,62.5
917,2007,62.5
917,2008,62.5
917,2009,62.5
522,1995,25
522,1996,22.2222222222222
522,1997,22.2222222222222
522,1998,33.3333333333333
522,1999,33.3333333333333
522,2000,44.4444444444444
522,2001,40
522,2002,33.3333333333333
522,2003,33.3333333333333
522,2004,33.3333333333333
522,2005,38.4615384615385
522,2006,35.7142857142857
522,2007,42.8571428571429
522,2008,42.8571428571429
522,2009,42.8571428571429
542,1995,0
542,1996,0
542,1997,0
542,1998,0
542,1999,0
542,2000,0
542,2001,6.25
542,2002,6.66666666666667
542,2003,12.5
542,2004,18.75
542,2005,18.75
542,2006,18.75
542,2007,18.75
542,2008,18.75
542,2009,18.75
443,1995,0
443,1996,0
443,1997,0
443,1998,0
443,1999,0
443,2000,0
443,2001,0
443,2002,0
443,2003,0
443,2004,0
443,2005,12.5
443,2006,11.1111111111111
443,2007,11.1111111111111
443,2008,11.1111111111111
443,2009,11.1111111111111
446,1995,28.125
446,1996,27.6923076923077
446,1997,28.5714285714286
446,1998,30.5084745762712
446,1999,30.3571428571429
446,2000,32.7272727272727
446,2001,32.7272727272727
446,2002,34
446,2003,34
446,2004,32
446,2005,34
446,2006,35.4166666666667
446,2007,39.5833333333333
446,2008,37.5
446,2009,37.5
672,1995,0
672,1996,0
672,1997,0
672,1998,0
672,1999,0
672,2000,0
672,2001,0
672,2002,0
672,2003,0
672,2004,0
672,2005,0
672,2006,0
672,2007,0
672,2008,0
672,2009,0
524,1995,0
524,1996,0
524,1997,0
524,1998,0
524,1999,0
524,2000,0
524,2001,0
524,2002,0
524,2003,0
524,2004,0
524,2005,0
524,2006,0
524,2007,0
524,2008,0
524,2009,0
946,1995,0
946,1996,0
946,1997,0
946,1998,9.09090909090909
946,1999,18.1818181818182
946,2000,50
946,2001,55.5555555555556
946,2002,66.6666666666667
946,2003,66.6666666666667
946,2004,66.6666666666667
946,2005,66.6666666666667
946,2006,66.6666666666667
946,2007,70
946,2008,70
946,2009,70
137,1995,96.969696969697
137,1996,97.0149253731343
137,1997,97.0588235294118
137,1998,97.1014492753623
137,1999,95.9459459459459
137,2000,95.8904109589041
137,2001,97.3333333333333
137,2002,97.3333333333333
137,2003,97.3684210526316
137,2004,97.3684210526316
137,2005,97.3684210526316
137,2006,97.3684210526316
137,2007,97.3684210526316
137,2008,97.3684210526316
137,2009,97.3684210526316
941,1995,12.5
941,1996,16.6666666666667
941,1997,26.9230769230769
941,1998,29.1666666666667
941,1999,31.8181818181818
941,2000,28.5714285714286
941,2001,27.2727272727273
941,2002,31.8181818181818
941,2003,31.8181818181818
