"imfcode","year","legal_abs","political_abs","economic_abs"
963,2005,0.4093035,0.4172111,0.5089794
963,2006,0.4037727,0.4415908,0.5295525
963,2007,0.3893184,0.4472523,0.5213622
963,2008,0.3471008,0.4421225,0.5239565
963,2009,0.3745193,0.4340658,0.5239876
963,2010,0.4059399,0.4390992,0.5429368
913,1990,NA,NA,NA
913,1991,NA,NA,NA
913,1992,NA,0.525,NA
913,1993,NA,0.3916667,0.0666667
913,1994,NA,0.4475,0.0333333
913,1995,0.3055556,0.3989583,0.4166667
913,1996,0.2746101,0.2476343,0.4762567
913,1997,0.2726472,0.2015062,0.3944676
913,1998,0.4017525,0.387544,0.3634762
913,1999,0.4006802,0.3734897,0.3071489
913,2000,0.3968302,0.3390649,0.3008217
913,2001,0.4006649,0.3490683,0.2729495
913,2002,0.3848237,0.3460904,0.2995219
913,2003,0.3848,0.3695293,0.2753894
913,2004,0.3828689,0.331944,0.2803723
913,2005,0.3841145,0.3130818,0.2704268
913,2006,0.3900469,0.2884656,0.2956955
913,2007,0.3710347,0.2978528,0.2569741
913,2008,0.3759137,0.2901286,0.2884297
913,2009,0.3706111,0.3077282,0.3278795
913,2010,0.3691209,0.3050625,0.3461935
339,1990,NA,NA,0.4980386
339,1991,NA,NA,0.4949712
339,1992,NA,NA,0.4919038
339,1993,NA,0.5669118,0.4249606
339,1994,NA,0.5637867,0.4143267
339,1995,0.6405804,0.5575368,0.4691285
339,1996,0.678037,0.5515243,0.5024543
339,1997,0.6750694,0.5491273,0.4886172
339,1998,0.6165462,0.5592303,0.4628753
339,1999,0.6206768,0.5577303,0.4478212
339,2000,0.6416558,0.5562302,0.4327671
339,2001,0.6921653,0.6626726,0.5039924
339,2002,0.6437859,0.5866151,0.5799797
339,2003,0.6536837,0.5809228,0.5826709
339,2004,0.6427426,0.5720598,0.6372218
339,2005,0.6365198,0.5454006,0.6531708
339,2006,0.6394192,0.5583887,0.6512465
339,2007,0.6375756,0.5457939,0.6414298
339,2008,0.6252502,0.5497865,0.6400104
339,2009,0.6126511,0.5704344,0.6474593
339,2010,0.5123793,0.6134917,0.5594687
218,1990,0.5555556,0.4761983,0.6496528
218,1991,0.5555556,0.4761983,0.6798328
218,1992,0.5972222,0.4761983,0.7013322
218,1993,0.5638889,0.4846895,0.6093764
218,1994,0.5777778,0.5326471,0.6154648
218,1995,0.5487627,0.5430637,0.5530936
218,1996,0.6043164,0.5042384,0.6515194
218,1997,0.5938164,0.5306833,0.6818773
218,1998,0.6314647,0.5657917,0.7052909
218,1999,0.5914807,0.5453768,0.7070144
218,2000,0.4632547,0.543191,0.6548218
218,2001,0.4776059,0.5813593,0.6712664
218,2002,0.4421849,0.5374095,0.6023204
218,2003,0.4403938,0.5063555,0.6182135
218,2004,0.4387945,0.5187084,0.6080838
218,2005,0.4781913,0.5156961,0.5820315
218,2006,0.4730378,0.5267706,0.561234
218,2007,0.4525542,0.5281129,0.4948145
218,2008,0.4299599,0.5256829,0.5089277
218,2009,0.4290088,0.5327451,0.5269359
218,2010,0.4366208,0.5099049,0.5080321
223,1990,0.7222222,0.6149782,0.2578548
223,1991,0.7222222,0.6149782,0.2034566
223,1992,0.7222222,0.6103486,0.2422172
223,1993,0.5909722,0.5670915,0.2233934
223,1994,0.5708333,0.5477859,0.2207908
223,1995,0.5502131,0.525286,0.3526047
223,1996,0.5751607,0.524031,0.360559
223,1997,0.5607142,0.532214,0.3958311
223,1998,0.5425641,0.5401655,0.4137421
223,1999,0.5371571,0.5100163,0.3877249
223,2000,0.5624921,0.5220205,0.4394275
223,2001,0.5697501,0.54519,0.469993
223,2002,0.5570216,0.539598,0.5436968
223,2003,0.5535145,0.5983178,0.5272661
223,2004,0.5136632,0.5751179,0.5036611
223,2005,0.5578673,0.5646849,0.5252612
223,2006,0.551501,0.559719,0.4830094
223,2007,0.5598983,0.5556425,0.4733418
223,2008,0.5566567,0.5620196,0.4636202
223,2009,0.565223,0.5672565,0.4713615
223,2010,0.5800773,0.5660182,0.4788082
316,1990,NA,NA,0.2748526
316,1991,NA,NA,0.2745857
316,1992,NA,NA,0.2743188
316,1993,NA,0.5909926,0.2638722
316,1994,NA,0.5816177,0.263672
316,1995,0.5414584,0.5816177,0.2634718
316,1996,0.6898307,0.637481,0.4919357
316,1997,0.6963079,0.6379248,0.4926367
316,1998,0.7583407,0.6383687,0.4933377
316,1999,0.7622677,0.6384707,0.493374
316,2000,0.6560417,0.626808,0.4934103
316,2001,0.7584557,0.7499654,0.5466716
316,2002,0.7600761,0.7481229,0.5523285
316,2003,0.7471248,0.7388632,0.5609744
316,2004,0.7499278,0.6908504,0.5674596
316,2005,0.8561506,0.6782159,0.5722731
316,2006,0.8534407,0.6731101,0.5787166
316,2007,0.8640812,0.6710204,0.5678788
316,2008,0.8495659,0.6717085,0.5416045
316,2009,0.8378304,0.6893181,0.5288646
316,2010,0.8321074,0.6998379,0.5507447
516,1990,0.5,0.59375,0.8611111
516,1991,0.5,0.6080729,0.9166667
516,1992,0.4444444,0.5885417,0.9166667
516,1993,0.3958333,0.5152777,0.5333334
516,1994,0.3930556,0.4768519,0.475
516,1995,0.4756944,0.4768519,0.475
516,1996,0.5230959,0.5100824,0.72366
516,1997,0.5187115,0.49617,0.6110927
516,1998,0.5143272,0.4704521,0.528618
516,1999,0.5133578,0.4358564,0.5215529
516,2000,0.5123884,0.4609829,0.5445804
516,2001,0.5287123,0.4819672,0.6218176
516,2002,0.5150362,0.4773959,0.6615548
516,2003,0.5435092,0.4796564,0.6571013
516,2004,0.5509572,0.4905129,0.6700402
516,2005,0.5125609,0.5057775,0.6522089
516,2006,0.5364853,0.5144524,0.6534088
516,2007,0.5467183,0.5244738,0.6566879
516,2008,0.549594,0.5299118,0.6441096
516,2009,0.5617718,0.5395712,0.6640722
516,2010,0.5616761,0.53719,0.6653515
514,1990,NA,0.2291667,NA
514,1991,NA,0.1354167,NA
514,1992,NA,0.09375,NA
514,1993,NA,0.075,0
514,1994,NA,0.08,0
514,1995,NA,0.155,0
514,1996,0.2439954,0.250188,0.3102202
514,1997,0.2494955,0.2093274,0.3276439
514,1998,0.2716623,0.2476335,0.3284009
514,1999,0.2707828,0.2207697,0.3310721
514,2000,0.2699033,0.2355724,0.3337434
514,2001,0.3001038,0.3161715,0.3124425
514,2002,0.3525264,0.3307984,0.4078082
514,2003,0.4071635,0.3620288,0.4040784
514,2004,0.4381831,0.3154991,0.3231767
514,2005,0.4497146,0.3951448,0.3614007
514,2006,0.4421995,0.4228191,0.3780196
514,2007,0.4503724,0.4104647,0.3815717
