"year","IMFDreher","imfcode"
"1978",0,924
"1979",0,924
"1980",0,924
"1981",1,924
"1982",0,924
"1983",0,924
"1984",0,924
"1985",0,924
"1986",1,924
"1987",0,924
"1988",0,924
"1989",0,924
"1990",0,924
"1991",0,924
"1992",0,924
"1993",0,924
"1994",0,924
"1995",0,924
"1996",0,924
"1997",0,924
"1998",0,924
"1999",0,924
"2000",0,924
"2001",0,924
"2002",0,924
"2003",0,924
"2004",0,924
"2005",0,924
"2006",0,924
"2007",0,924
"2008",0,924
"1970",1,233
"1971",1,233
"1972",1,233
"1973",1,233
"1974",0,233
"1975",0,233
"1976",0,233
"1977",0,233
"1978",0,233
"1979",0,233
"1980",0,233
"1981",0,233
"1982",0,233
"1983",0,233
"1984",0,233
"1985",0,233
"1986",0,233
"1987",0,233
"1988",0,233
"1989",0,233
"1990",0,233
"1991",0,233
"1992",0,233
"1993",0,233
"1994",0,233
"1995",0,233
"1996",0,233
"1997",0,233
"1998",0,233
"1999",0,233
"2000",0,233
"2001",0,233
"2002",0,233
"2003",1,233
"2004",0,233
"2005",1,233
"2006",0,233
"2007",0,233
"2008",0,233
"1970",0,632
"1971",0,632
"1972",0,632
"1973",0,632
"1974",0,632
"1975",0,632
"1976",0,632
"1977",0,632
"1978",0,632
"1979",0,632
"1980",0,632
"1981",0,632
"1982",0,632
"1983",0,632
"1984",0,632
"1985",0,632
"1986",0,632
"1987",0,632
"1988",0,632
"1989",0,632
"1990",0,632
"1991",0,632
"1992",0,632
"1993",0,632
"1994",0,632
"1995",0,632
"1996",0,632
"1997",0,632
"1998",0,632
"1999",0,632
"2000",0,632
"2001",0,632
"2002",0,632
"2003",0,632
"2004",0,632
"2005",0,632
"2006",0,632
"2007",0,632
"2008",0,632
"1970",0,636
"1971",0,636
"1972",0,636
"1973",0,636
"1974",0,636
"1975",0,636
"1976",1,636
"1977",1,636
"1978",0,636
"1979",1,636
"1980",0,636
"1981",0,636
"1982",0,636
"1983",1,636
"1984",0,636
"1985",1,636
"1986",1,636
"1987",1,636
"1988",0,636
"1989",1,636
"1990",0,636
"1991",0,636
"1992",0,636
"1993",0,636
"1994",0,636
"1995",0,636
"1996",0,636
"1997",0,636
"1998",0,636
"1999",0,636
"2000",0,636
"2001",0,636
"2002",0,636
"2003",0,636
"2004",0,636
"2005",0,636
"2006",0,636
"2007",0,636
"2008",0,636
"1970",0,634
"1971",0,634
"1972",0,634
"1973",0,634
"1974",0,634
"1975",0,634
"1976",0,634
"1977",1,634
"1978",0,634
"1979",1,634
"1980",0,634
"1981",0,634
"1982",0,634
"1983",0,634
"1984",0,634
"1985",0,634
"1986",1,634
"1987",0,634
"1988",0,634
"1989",0,634
"1990",1,634
"1991",0,634
"1992",0,634
"1993",0,634
"1994",1,634
"1995",0,634
"1996",0,634
"1997",0,634
"1998",0,634
"1999",0,634
"2000",0,634
"2001",0,634
"2002",0,634
"2003",0,634
"2004",0,634
"2005",0,634
"2006",0,634
"2007",0,634
"2008",0,634
"1970",0,238
"1971",0,238
"1972",0,238
"1973",0,238
"1974",0,238
"1975",0,238
"1976",1,238
"1977",0,238
"1978",0,238
"1979",0,238
"1980",1,238
"1981",0,238
"1982",1,238
"1983",0,238
"1984",0,238
"1985",1,238
"1986",0,238
"1987",1,238
"1988",0,238
"1989",1,238
"1990",0,238
"1991",1,238
"1992",0,238
"1993",1,238
"1994",0,238
"1995",1,238
"1996",0,238
"1997",0,238
"1998",0,238
"1999",0,238
"2000",0,238
"2001",0,238
"2002",0,238
"2003",0,238
"2004",0,238
"2005",0,238
"2006",0,238
"2007",0,238
"2008",0,238
"1970",0,960
"1971",0,960
"1972",0,960
"1973",0,960
"1974",0,960
"1975",0,960
"1976",0,960
"1977",0,960
"1978",0,960
"1979",0,960
"1980",0,960
"1981",0,960
"1982",0,960
"1983",0,960
"1984",0,960
"1985",0,960
"1986",0,960
"1987",0,960
"1988",0,960
"1989",0,960
"1990",0,960
"1991",0,960
"1992",0,960
"1993",0,960
"1994",1,960
"1995",0,960
"1996",0,960
"1997",0,960
"1998",0,960
"1999",0,960
"2000",0,960
"2001",1,960
"2002",0,960
"2003",1,960
"2004",1,960
"2005",0,960
"2006",0,960
"2007",0,960
"2008",0,960
"1970",0,423
"1971",0,423
"1972",0,423
"1973",0,423
"1974",0,423
"1975",0,423
"1976",0,423
"1977",0,423
"1978",0,423
"1979",0,423
"1980",1,423
"1981",0,423
"1982",0,423
"1983",0,423
"1984",0,423
"1985",0,423
"1986",0,423
"1987",0,423
"1988",0,423
"1989",0,423
"1990",0,423
"1991",0,423
"1992",0,423
"1993",0,423
"1994",0,423
"1995",0,423
"1996",0,423
"1997",0,423
"1998",0,423
"1999",0,423
"2000",0,423
"2001",0,423
"2002",0,423
"2003",0,423
"2004",0,423
"2005",0,423
"2006",0,423
"2007",0,423
"2008",0,423
"1970",0,935
"1971",0,935
"1972",0,935
"1973",0,935
"1974",0,935
"1975",0,935
"1976",0,935
"1977",0,935
"1978",0,935
"1979",0,935
"1980",0,935
"1981",0,935
"1982",0,935
"1983",0,935
"1984",0,935
"1985",0,935
"1986",0,935
"1987",0,935
"1988",0,935
"1989",0,935
"1990",0,935
"1991",1,935
"1992",1,935
"1993",1,935
"1994",0,935
"1995",0,935
"1996",0,935
"1997",0,935
"1998",0,935
"1999",0,935
"2000",0,935
"2001",0,935
"2002",0,935
"2003",0,935
"2004",0,935
"2005",0,935
"2006",0,935
"2007",0,935
"2008",0,935
"1970",0,611
"1971",0,611
"1972",0,611
"1973",0,611
"1974",0,611
"1975",0,611
"1976",0,611
"1977",0,611
"1978",0,611
"1979",0,611
"1980",0,611
"1981",0,611
"1982",0,611
"1983",0,611
"1984",0,611
"1985",0,611
"1986",0,611
"1987",0,611
"1988",0,611
"1989",0,611
"1990",0,611
"1991",0,611
"1992",0,611
"1993",0,611
"1994",0,611
"1995",0,611
"1996",1,611
"1997",0,611
"1998",0,611
"1999",0,611
"2000",0,611
"2001",0,611
"2002",0,611
"2003",0,611
"2004",0,611
"2005",0,611
"2006",0,611
"2007",0,611
"2008",0,611
"1970",0,321
"1971",0,321
"1972",0,321
"1973",0,321
"1974",0,321
"1975",0,321
"1976",0,321
"1977",0,321
"1978",0,321
"1979",0,321
"1980",0,321
"1981",0,321
"1982",0,321
"1983",0,321
"1984",1,321
"1985",0,321
"1986",0,321
"1987",0,321
"1988",0,321
"1989",0,321
"1990",0,321
"1991",0,321
"1992",0,321
"1993",0,321
"1994",0,321
"1995",0,321
"1996",0,321
"1997",0,321
"1998",0,321
"1999",0,321
"2000",0,321
"2001",0,321
"2002",1,321
"2003",0,321
"2004",0,321
"2005",0,321
"2006",0,321
"2007",0,321
"2008",0,321
"1970",0,243
"1971",0,243
"1972",0,243
"1973",0,243
"1974",0,243
"1975",0,243
"1976",0,243
"1977",0,243
"1978",0,243
"1979",0,243
"1980",0,243
"1981",0,243
"1982",0,243
"1983",0,243
"1984",0,243
"1985",1,243
"1986",0,243
"1987",0,243
"1988",0,243
"1989",0,243
"1990",0,243
"1991",1,243
"1992",0,243
"1993",1,243
"1994",0,243
"1995",0,243
"1996",0,243
"1997",0,243
"1998",0,243
"1999",0,243
"2000",0,243
"2001",0,243
"2002",0,243
"2003",1,243
"2004",0,243
"2005",1,243
"2006",0,243
"2007",0,243
"2008",0,243
"1970",1,248
"1971",0,248
"1972",1,248
"1973",0,248
"1974",0,248
"1975",0,248
"1976",0,248
"1977",0,248
"1978",0,248
"1979",0,248
"1980",0,248
"1981",0,248
"1982",0,248
"1983",1,248
"1984",0,248
"1985",1,248
"1986",1,248
"1987",0,248
"1988",1,248
"1989",1,248
"1990",0,248
"1991",1,248
"1992",0,248
"1993",0,248
"1994",1,248
"1995",0,248
"1996",0,248
"1997",0,248
"1998",0,248
"1999",0,248
"2000",1,248
"2001",0,248
"2002",0,248
"2003",1,248
"2004",0,248
"2005",0,248
"2006",0,248
"2007",0,248
"2008",0,248
"1970",0,469
"1971",0,469
"1972",0,469
"1973",0,469
"1974",0,469
"1975",0,469
"1976",0,469
"1977",1,469
"1978",0,469
"1979",0,469
"1980",0,469
"1981",0,469
"1982",0,469
"1983",0,469
"1984",0,469
"1985",0,469
"1986",0,469
"1987",1,469
"1988",0,469
"1989",0,469
"1990",0,469
"1991",1,469
"1992",0,469
"1993",0,469
"1994",0,469
