"iso2c","country","year","GDPCurrentUSD","GDPperCapita","CapToAssetswdi","NPLwdi","CreditInfo","DomesticCredit","CreditBurCoverange","CurrentAccount","IMFCredits","PortfolioEquity","CashSurplusDeficit","ClaimsOnGov","CentGovDebt","ShortExternDebtAll","ExternPrivateDebt","ExternPublicDebt","ExternDebtTotal","TotalReserves","imfcode"
"105","7E","Europe & Central Asia (developing only)",1985,NA,NA,NA,NA,NA,39.8948583151686,NA,NA,4093820000,0,NA,NA,NA,1.3267e+10,8338415000,61723333000,87422568000,NA,NA
"106","7E","Europe & Central Asia (developing only)",1986,NA,NA,NA,NA,NA,29.8185370590435,NA,NA,3867660000,0,NA,NA,NA,1.5791e+10,6333382000,72022167000,98014209000,NA,NA
"107","7E","Europe & Central Asia (developing only)",1987,NA,NA,NA,NA,NA,NA,NA,NA,3129543000,0,NA,NA,NA,1.8604e+10,5911109000,88932009000,116576661000,NA,NA
"108","7E","Europe & Central Asia (developing only)",1988,NA,NA,NA,NA,NA,NA,NA,NA,1752895000,0,NA,NA,NA,2.0067e+10,5.227e+09,89196319000,116243214000,NA,NA
"109","7E","Europe & Central Asia (developing only)",1989,895971464950.105,2176.75137020722,NA,NA,NA,NA,NA,NA,733859000,1.7e+07,NA,NA,NA,26556400000,4275591000,94306484000,125872334000,NA,NA
"110","7E","Europe & Central Asia (developing only)",1990,951784876970.715,2141.60532979344,NA,NA,NA,NA,NA,NA,466553000,8.9e+07,NA,NA,NA,24102421000,4920813000,108777430000,138267217000,NA,NA
"111","7E","Europe & Central Asia (developing only)",1991,915106181581.142,2023.82558723643,NA,NA,NA,NA,NA,NA,1530364000,1.47e+08,NA,NA,NA,25007623000,6274662000,116093110000,148905759000,NA,NA
"112","7E","Europe & Central Asia (developing only)",1992,846992522713.261,1822.20221417313,NA,NA,NA,NA,NA,NA,2878369000,3.5e+08,NA,NA,NA,29815040000,7673316000,127798771000,168165496000,NA,NA
"113","7E","Europe & Central Asia (developing only)",1993,830626608937.167,1737.91021825627,NA,NA,NA,28.8871477724608,NA,NA,4827275000,570566176.554405,NA,NA,NA,32136263000,9234623000,175925968000,222124129000,NA,NA
"114","7E","Europe & Central Asia (developing only)",1994,722256963658.766,1573.19077044488,NA,NA,NA,30.3587503217715,NA,NA,8412472000,1038966030.7594,NA,NA,NA,26591625000,9623333000,188018154000,232645584000,25111033398.4313,NA
"115","7E","Europe & Central Asia (developing only)",1995,769118500630.407,1576.03513620127,NA,NA,NA,24.9818521505762,NA,NA,15787933000,247808950,NA,NA,NA,31281602000,10256003000,189305822000,246631360000,43240427378.8474,NA
"116","7E","Europe & Central Asia (developing only)",1996,774350600296.888,1596.20028130885,NA,NA,NA,28.338314704851,NA,NA,19274550000,2408092850,NA,NA,NA,36684908000,17752869000,189049646000,262761973000,46857966474.8862,NA
"117","7E","Europe & Central Asia (developing only)",1997,807943488022.159,1651.79026339755,NA,NA,NA,27.9642015962455,NA,NA,20498741000,1815740100,NA,NA,NA,36947093000,27228895000,196239081000,280913810000,54873478478.9503,NA
"118","7E","Europe & Central Asia (developing only)",1998,754312221525.487,1640.34910553506,NA,NA,NA,32.5838762735248,NA,NA,27207108000,588520800,NA,NA,NA,48111411000,57222994000,217368088000,349909601000,48824529652.8348,NA
"119","7E","Europe & Central Asia (developing only)",1999,637560917484.491,1660.24203448349,NA,NA,NA,31.4831676702076,NA,NA,37186536000,366992000.274607,NA,NA,NA,51491328000,60302930000,219994286000,368975080000,54195706581.052,NA
"120","7E","Europe & Central Asia (developing only)",2000,709910973214.021,1781.41226453581,NA,NA,NA,28.8318546083411,NA,NA,34758885000,985641795.060889,NA,NA,NA,59508264000,68195523000,197474523000,359937195000,68090541333.0095,NA
"121","7E","Europe & Central Asia (developing only)",2001,708077343997.616,1808.79295043449,13.5,10.4,NA,31.5424606726463,NA,NA,39546036000,595545406.636362,NA,NA,NA,60470671000,73924979000,190411979000,364353665000,79386429868.4444,NA
"122","7E","Europe & Central Asia (developing only)",2002,809179974255.019,1909.17239801851,14.55,9.45,NA,30.9735951904014,NA,NA,47794764000,2766098149.74319,NA,NA,NA,58751459000,89223459000,195623538000,391393220000,108194813086.595,NA
"123","7E","Europe & Central Asia (developing only)",2003,1021148070802.53,2033.06036964268,13.4,5.4,NA,31.0599295782983,NA,NA,50125436000,1576126208.08172,NA,NA,NA,86184001000,129010434000,210999322000,476319193000,157484283545.989,NA
"124","7E","Europe & Central Asia (developing only)",2004,1346946319405.57,2202.90716467014,13.8,4.2,1.47368421052632,30.2805524980898,2.68235294117647,NA,46213516000,1809299019.26302,NA,NA,NA,98671041000,174082743000,235215676000,554182976000,226791504015.534,NA
