"year","SystemicCrisis","CurrencyCrisis","SovereignDefault","SovereignDebtRestructuring","imfcode","country"
"396","1980",0,1,0,0,746,"UGANDA"
"397","1981",0,0,1,0,746,"UGANDA"
"398","1988",0,1,0,0,746,"UGANDA"
"399","1993",0,0,0,1,746,"UGANDA"
"400","1994",1,0,0,0,746,"UGANDA"
"401","1998",1,1,1,0,926,"UKRAINE"
"402","2008",1,0,0,0,926,"UKRAINE"
"403","2009",0,1,0,0,926,"UKRAINE"
"404","1999",0,0,0,1,926,"UKRAINE"
"405","2007",1,0,0,0,112,"UNITED KINGDOM"
"406","1988",1,0,0,0,111,"UNITED STATES"
"407","2007",1,0,0,0,111,"UNITED STATES"
"408","1981",1,0,0,0,298,"URUGUAY"
"409","1983",0,1,1,0,298,"URUGUAY"
"410","1990",0,1,0,0,298,"URUGUAY"
"411","1991",0,0,0,1,298,"URUGUAY"
"412","2003",0,0,0,1,298,"URUGUAY"
"413","2002",1,1,1,0,298,"URUGUAY"
"414","1972",0,1,0,0,298,"URUGUAY"
"415","1994",0,1,0,0,927,"UZBEKISTAN"
"416","2000",0,1,0,0,927,"UZBEKISTAN"
"417","1982",0,0,1,0,299,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"418","1984",0,1,0,0,299,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"419","1989",0,1,0,0,299,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"420","1990",0,0,0,1,299,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"421","1994",1,1,0,0,299,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"422","2002",0,1,0,0,299,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"423","1981",0,1,0,0,582,"VIET NAM"
"424","1985",0,0,1,0,582,"VIET NAM"
"425","1987",0,1,0,0,582,"VIET NAM"
"426","1997",1,0,0,1,582,"VIET NAM"
"427","1972",0,1,0,0,582,"VIET NAM"
"428","1985",0,1,0,0,474,"YEMEN"
"429","1995",0,1,0,0,474,"YEMEN"
"430","1996",1,0,0,0,474,"YEMEN"
"433","1983",0,1,1,0,754,"ZAMBIA"
"434","1989",0,1,0,0,754,"ZAMBIA"
"435","1994",0,0,0,1,754,"ZAMBIA"
"436","1995",1,0,0,0,754,"ZAMBIA"
"437","1996",0,1,0,0,754,"ZAMBIA"
"438","2009",0,1,0,0,754,"ZAMBIA"
"439","1983",0,1,0,0,698,"ZIMBABWE"
"440","1991",0,1,0,0,698,"ZIMBABWE"
"441","1995",1,0,0,0,698,"ZIMBABWE"
"442","1998",0,1,0,0,698,"ZIMBABWE"
"443","2003",0,1,0,0,698,"ZIMBABWE"
